,area_id,area_name,land_area,population,number_of_dwellings,number_of_businesses,median_annual_household_income,avg_monthly_rent,0-4,5-9,10-14,15-19
266,127011504,Ashcroft - Busby - Miller,546.3,17924,4854,508.0,39804.0,1078.0,1427,1466,1457,1425
267,127011505,Austral - Greendale,11071.5,9121,2353,1414.0,43499.0,1658.0,487,587,651,707
268,127011506,Cobbitty - Leppington,13213.8,22559,5119,1555.0,52101.0,2130.0,1889,1434,1122,1022
269,127011592,Badgerys Creek,1757.7,62,18,12.0,46021.0,553.0,1,5,6,1
270,127011593,Cecil Hills,374.8,7321,1725,586.0,49992.0,2185.0,377,502,630,660
271,127011594,Green Valley,321.5,13085,2752,722.0,44997.0,1709.0,811,961,985,1129
272,127011595,Hinchinbrook,522.5,13283,2843,672.0,47263.0,1969.0,952,965,1028,1074
273,127011596,Hoxton Park - Carnes Hill - Horningsea Park,412.6,12536,2919,633.0,50130.0,2010.0,1046,1055,1001,961
274,127011597,West Hoxton - Middleton Grange,926.3,16582,3657,1021.0,52146.0,2129.0,1441,1429,1332,1201
275,127021509,Bonnyrigg Heights - Bonnyrigg,518.9,16818,3758,852.0,43245.0,1447.0,932,1169,1156,1278
276,127021510,Bossley Park - Abbotsbury,951.5,19838,5043,1364.0,46473.0,1791.0,1045,1169,1287,1422
277,127021511,Cabramatta - Lansvale,759.6,26089,5800,1872.0,36969.0,1354.0,1646,1513,1477,1819
278,127021512,Cabramatta West - Mount Pritchard,534.3,18095,4337,926.0,41018.0,1376.0,1178,1263,1282,1347
279,127021513,Canley Vale - Canley Heights,541.6,21874,4809,1045.0,39741.0,1405.0,1415,1346,1404,1600
280,127021514,Edensor Park,309.6,10336,2448,721.0,44267.0,1681.0,595,594,696,779
281,127021515,Fairfield,423.0,18664,4786,1364.0,39685.0,1478.0,1252,1171,1107,1144
282,127021516,Fairfield - West,469.2,20214,4309,959.0,39701.0,1679.0,1328,1348,1376,1472
283,127021517,Greenfield Park - Prairiewood,363.7,8716,2066,493.0,45071.0,1640.0,527,570,573,635
284,127021518,Horsley Park - Kemps Creek,5627.7,4664,1150,963.0,48258.0,1684.0,224,256,326,349
285,127021519,Smithfield - Wetherill Park,661.2,18918,4902,1393.0,43457.0,1535.0,1215,1251,1150,1202
286,127021520,St Johns Park - Wakeley,361.1,11317,2721,624.0,43397.0,1727.0,613,639,686,761
287,127021521,Wetherill Park Industrial,855.7,46,0,1693.0,46348.0,,1,0,0,0
288,127031522,Casula,707.2,16488,3430,1092.0,47580.0,1703.0,1197,1179,1135,1196
289,127031523,Chipping Norton - Moorebank,1449.0,19823,5132,2431.0,50891.0,1913.0,1611,1477,1230,1085
290,127031524,Holsworthy - Wattle Grove,7370.0,21699,5392,1148.0,57000.0,1805.0,1785,1615,1498,1620
291,127031598,Liverpool,631.9,29585,7443,2589.0,42303.0,1495.0,2483,1918,1595,1511
292,127031599,Lurnea - Cartwright,346.7,12310,2897,462.0,40864.0,1217.0,997,1034,837,856
293,127031600,Prestons - Edmondson Park,1413.2,19219,4408,1668.0,51121.0,2044.0,1499,1646,1585,1542
294,127031601,Warwick Farm,465.0,6470,1981,330.0,43106.0,1275.0,489,356,273,292
295,128011529,Gymea - Grays Point,579.8,18057,5103,1421.0,52871.0,2113.0,1181,1229,1228,1148
296,128011530,Miranda - Yowie Bay,599.7,18975,5471,2217.0,50319.0,1879.0,1252,1158,1066,1066
297,128011531,Sylvania - Taren Point,607.3,16733,4449,2301.0,47383.0,2059.0,998,965,958,913
298,128011602,Caringbah,399.6,12388,3441,2052.0,52754.0,1814.0,956,767,587,540
299,128011603,Caringbah South,407.0,12572,3236,1157.0,52088.0,2606.0,810,917,847,865
300,128011604,Cronulla - Kurnell - Bundeena,2508.7,24795,9038,2485.0,55083.0,2027.0,1363,1134,1107,1050
301,128011605,Lilli Pilli - Port Hacking - Dolans Bay,127.1,3265,912,442.0,57429.0,3086.0,172,211,275,273
302,128011606,Woolaware - Burraneer,332.8,8260,2143,924.0,56652.0,2200.0,460,575,577,578
303,128021533,Heathcote - Waterfall,2761.6,6674,1964,377.0,49791.0,1785.0,429,475,411,419
304,128021534,Illawong - Alfords Point,729.8,10756,3032,1138.0,51600.0,2608.0,541,595,673,766
305,128021535,Menai - Lucas Heights - Woronora,3340.5,21656,5523,1595.0,54420.0,2183.0,1313,1441,1517,1728
306,128021536,Oyster Bay - Como - Jannali,890.5,22084,5931,1591.0,55391.0,1947.0,1575,1819,1506,1310
307,128021537,Royal National Park,13933.4,28,4,3.0,,1899.0,0,4,0,4
308,128021538,Sutherland - Kirrawee,775.5,21760,6924,2086.0,53378.0,1809.0,1538,1242,1081,1033
309,128021607,Engadine,895.4,17424,5219,1121.0,52667.0,1955.0,1333,1529,1283,1031
310,128021608,Loftus - Yarrawarrah,384.4,7426,2177,417.0,51243.0,2163.0,503,572,532,447
311,128021609,Woronora Heights,313.7,3681,1050,259.0,54935.0,2300.0,175,228,295,343
312,101051540,Goulburn Region,9035.1221,"12,670","6,817",1528.0,62712.0,800.0,685,766,887,752
313,103011060,Bathurst Region,3798.2628,"6,910","3,049",918.0,70512.0,720.0,327,434,513,496
314,103011061,Oberon,2972.3813,"4,662","2,326",580.0,62764.0,840.0,287,291,259,308
315,103031070,Lithgow,119.9844,"12,818","5,970",608.0,47788.0,920.0,824,755,676,746
316,103031071,Lithgow Region,2514.07,"8,262","3,711",702.0,58396.0,800.0,452,526,538,475
317,106011109,Cessnock Region,1570.4341,"7,931","3,281",673.0,73164.0,1080.0,432,590,577,527
318,106011113,Singleton Region,4067.2349,"4,919","2,055",698.0,87984.0,1000.0,310,394,353,323
319,111021218,Morisset - Cooranbong,330.5208,"14,959","6,298",1154.0,58084.0,1260.0,813,855,828,962
320,114021285,Hill Top - Colo Vale,174.3752,"6,025","2,249",400.0,81120.0,1512.0,443,500,470,451
321,114021289,Southern Highlands,1409.7013,"6,589","3,405",856.0,65572.0,1200.0,295,388,401,350
